elements,activities,events,startEvents,endEvents,gateways,lanesAndPools,sequenceFlows,fileName,
0,1,0,0,1,1,0,1,1046629921.meta.json,
0,1,1,1,1,1,1,1,1046679779.meta.json,
0,1,0,0,0,1,0,1,1046700825.meta.json,
0,1,1,0,0,1,0,1,1046734786.meta.json,
1,1,1,1,1,1,1,1,1046764262.meta.json,
1,1,1,1,1,1,1,1,1046820050.meta.json,
1,1,1,1,0,1,1,1,1046936548.meta.json,
1,1,1,1,1,1,1,1,1047404421.meta.json,
1,1,1,0,0,1,1,1,1047442052.meta.json,
0,1,1,0,0,1,1,1,1047510341.meta.json,
0,1,0,0,0,1,1,1,1047642669.meta.json,
1,1,1,1,0,1,1,1,104777082.meta.json,
0,1,1,1,1,1,0,1,1047829738.meta.json,
1,1,1,1,1,1,1,1,1047842160.meta.json,
1,1,1,0,0,1,0,1,1047967305.meta.json,
0,1,0,0,0,1,0,1,1048036019.meta.json,
0,1,1,1,1,1,0,1,1048054967.meta.json,
1,1,1,1,1,1,1,1,1048121139.meta.json,
1,1,1,1,0,1,0,1,1048175534.meta.json,
1,1,1,1,0,1,1,1,1048256309.meta.json,
1,1,1,1,1,1,1,1,1048264048.meta.json,
0,1,1,1,0,1,1,1,104860910.meta.json,
1,1,1,1,0,1,1,1,104862537.meta.json,
0,1,1,0,0,1,0,1,1048687201.meta.json,
0,1,1,1,0,1,0,1,1048703179.meta.json,
0,1,1,0,0,1,0,1,1048832532.meta.json,
1,1,1,1,1,1,1,1,104884491.meta.json,
1,1,1,1,1,1,1,1,104889377.meta.json,
0,1,1,1,1,1,1,1,1048909527.meta.json,
1,1,1,0,1,1,0,1,1049152956.meta.json,
0,1,1,1,1,1,1,1,1049305314.meta.json,
0,1,1,1,1,1,1,1,1049410711.meta.json,
0,1,1,1,0,1,0,1,1049446143.meta.json,
0,1,1,0,0,1,1,1,1049468432.meta.json,
1,1,1,1,1,1,1,1,1049669579.meta.json,
1,1,1,1,1,1,1,1,1049674837.meta.json,
1,1,1,1,1,1,1,1,1049766257.meta.json,
1,1,0,0,0,1,1,1,1049823263.meta.json,
1,1,1,1,1,1,1,1,1050401848.meta.json,
0,1,0,0,0,1,0,0,1050632351.meta.json,
0,1,1,1,0,1,1,1,105070660.meta.json,
